courseSummary,courses,departments,id,name,overall_rating,recent_reviews,total_reviews,would_take_again_percent
"{'teaching': ""Prof Wagner is the worst professor I've taken at Texas A&amp;M - her lectures do not help you complete the assignments. She is a very tough grader but gives vague instructions and even more vague feedback. This should not be a hard class (its a freshman class) but she makes it horrible."", 'exams': None, 'grading': None, 'workload': None, 'confidence': 0.68}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 9, 'avg_rating': 1.3}, {'course_id': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'reviews_count': 8, 'avg_rating': 1.3}, {'course_id': 'AGCJ307', 'course_name': 'Design for Agricultural Media', 'reviews_count': 1, 'avg_rating': 1.3}]",['AGCJ'],VGVhY2hlci0yMzk5Mzkw,Sharon Wagner,1.3,"[{'id': 'UmF0aW5nLTMxNjY3NjYy', 'course_code': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'review_text': 'Due dates moved around to the point that the whole class would be confused what was due that week. Gives very little criteria on rubric for assignments but grades very tough & specific. Lectures were random & boring, but Thursday there would be a pop quiz that could hurt your grade if you didnt attend. Definitely would not take her again.', 'overall_rating': 1.3, 'would_take_again': False, 'grade': '', 'review_date': '2019-04-24T21:56:33', 'tags': ['Tough grader', 'So many papers', 'Beware of pop quizzes']}, {'id': 'UmF0aW5nLTMxNjQzNzQ5', 'course_code': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'review_text': ""VERY unorganized. VERY vague on instructions. She often moved assignments around which made the course confusing. VERY slow at grading and responding to emails. Go to class, even if you don't want to, because there are a lot of pop quizzes. Weekly assignments and readings that are individual and group. If you can, avoid taking a class with her."", 'overall_rating': 1.7, 'would_take_again': False, 'grade': 'B', 'review_date': '2019-04-22T18:03:24', 'tags': [""Skip class? You won't pass."", 'Group projects', 'Beware of pop quizzes']}, {'id': 'UmF0aW5nLTMxNDgzMTY0', 'course_code': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'review_text': 'You have to try to be that unorganized. Ive never seen a professor change things around as much as she does. I never know when things are due and its hard to want to show up. I have her at 8 am and the only reason I show up is for the pop quizzes because I know shes not going to say anything important. No meaningful content in her lectures.', 'overall_rating': 1.3, 'would_take_again': False, 'grade': 'Not sure yet', 'review_date': '2019-03-26T21:08:31', 'tags': ['Beware of pop quizzes', 'EXTRA CREDIT', 'Tough grader']}]",8,11.1
"{'teaching': None, 'exams': None, 'grading': None, 'workload': 'The class & materials are not difficult BUT the professor is She goes above & beyond to make fun of students half her age Be prepared to hear her views & other personal biases that she shares with the classroom inappropriately Lacks communication and is unclear with assignments misuse of authority in all ways. If she decides not to like you, youre pretty much screwed for the whole semester.', 'confidence': 0.6575}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 22, 'avg_rating': 2.7}, {'course_id': 'AGCJ313', 'course_name': 'Media Writing in Agriculture and Life Sciences I', 'reviews_count': 10, 'avg_rating': 2.7}, {'course_id': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'reviews_count': 7, 'avg_rating': 2.7}, {'course_id': 'AGCJ481', 'course_name': 'Seminar', 'reviews_count': 2, 'avg_rating': 2.7}, {'course_id': 'NA', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 2.7}]","['NA', 'AGCJ']",VGVhY2hlci0xODYxNTA0,Holli Leggette,2.7,"[{'id': 'UmF0aW5nLTM5MDMxMzM2', 'course_code': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'review_text': 'The class & materials are not difficult BUT the professor is. She goes above & beyond to make fun of students half her age. Be prepared to hear her views & other personal biases that she shares with the classroom inappropriately. Lacks communication and is unclear with assignments. misuse of authority in all ways', 'overall_rating': 1.0, 'would_take_again': None, 'grade': 'B+', 'review_date': '2024-03-07T05:17:44', 'tags': ['Tough grader', 'Lots of homework', 'Lecture heavy']}, {'id': 'UmF0aW5nLTM4OTk3MzM0', 'course_code': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'review_text': 'A tenured professor that despises her job', 'overall_rating': 1.0, 'would_take_again': None, 'grade': 'A-', 'review_date': '2024-02-24T02:20:10', 'tags': ['Tough grader', 'Beware of pop quizzes', 'Graded by few things']}, {'id': 'UmF0aW5nLTM4Nzc5ODg3', 'course_code': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'review_text': 'I was not expecting to end one of my first agcj classes with an A, but this class was very clear and made it pretty easy. Most of your grade is made up of projects that are not hard. There are no tests. The final is a group project that is fun. I liked Dr. Leggette and thought she really cared about our success. ', 'overall_rating': 4.7, 'would_take_again': True, 'grade': 'A', 'review_date': '2023-12-22T23:42:12', 'tags': ['Participation matters', 'Group projects', 'Clear grading criteria']}]",7,40.0
"{'teaching': None, 'exams': None, 'grading': None, 'workload': 'This class was extremely easy and hardly any homework Dr Deb is one of the kindest people I have ever met and she truly cares about her students She teaches life lessons in her class, and the only assignments are reading news stories and writing summaries over them Hardly any tests She gives great feedback and is always willing to help :) SHE IS THE BEST Her class is easy Her lectures are short and about real life important stuff She makes class fun, and can really connect with her students Seriously one of', 'confidence': 0.635}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 12, 'avg_rating': 4.3}, {'course_id': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'reviews_count': 6, 'avg_rating': 4.3}, {'course_id': 'AGCJ105', 'course_name': 'Introduction to Agriculture and Life Sciences Communications', 'reviews_count': 2, 'avg_rating': 4.3}, {'course_id': 'AGCJ306', 'course_name': 'Theory and Practice of Public Relations in Agriculture and Life Sciences', 'reviews_count': 1, 'avg_rating': 4.3}, {'course_id': 'AGCJ406', 'course_name': 'Public Relations and Campaigns in Agriculture and Life Sciences', 'reviews_count': 1, 'avg_rating': 4.3}, {'course_id': 'AGLS306', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.3}, {'course_id': 'AGCJ408', 'course_name': 'Advertising Copy and Design in Agriculture and Life Sciences', 'reviews_count': 1, 'avg_rating': 4.3}]","['AGCJ', 'AGLS']",VGVhY2hlci0yMjU5NjYy,Deborah Dunsford,4.3,"[{'id': 'UmF0aW5nLTM1NTAyOTcz', 'course_code': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'review_text': 'This class was extremely easy and hardly any homework. Dr. Deb is one of the kindest people I have ever met and she truly cares about her students. She teaches life lessons in her class, and the only assignments are reading news stories and writing summaries over them. Hardly any tests. She gives great feedback and is always willing to help. :)', 'overall_rating': 5.0, 'would_take_again': True, 'grade': 'A+', 'review_date': '2021-12-13T21:37:13', 'tags': ['Respected', 'Inspirational', 'Caring']}, {'id': 'UmF0aW5nLTM1Mjk4OTIy', 'course_code': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'review_text': 'SHE IS THE BEST!!!!! Her class is easy. Her lectures are short and about real life important stuff. She makes class fun, and can really connect with her students.', 'overall_rating': 5.0, 'would_take_again': True, 'grade': 'A+', 'review_date': '2021-11-24T22:27:26', 'tags': ['Hilarious', 'Amazing lectures', 'Caring']}, {'id': 'UmF0aW5nLTM0MjA4MTky', 'course_code': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'review_text': ""Seriously one of the most helpful and enjoyable classes i've ever taken. Dr. Deb teaches real-world tools to help her students prepare for a career. She is quick to respond to questions and clearly cares about the success of her students. 110% recommend taking her class, SHE IS AMAZING!"", 'overall_rating': 5.0, 'would_take_again': True, 'grade': 'A+', 'review_date': '2020-12-28T17:56:03', 'tags': ['Respected', 'Inspirational', 'Amazing lectures']}]",6,91.7
"{'teaching': None, 'exams': None, 'grading': None, 'workload': 'Prof Redwine is the best professor I have had. His class is super easy and he wants you to do well- its one of the classes that you have to try to do poorly in. He really cares for his students as individuals and will make the effort to know you and your work.', 'confidence': 0.5225}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 12, 'avg_rating': 4.9}, {'course_id': 'AGCJ314', 'course_name': 'Media Writing in Agriculture and Life Sciences II', 'reviews_count': 3, 'avg_rating': 4.9}, {'course_id': 'AGCJ105', 'course_name': 'Introduction to Agriculture and Life Sciences Communications', 'reviews_count': 3, 'avg_rating': 4.9}, {'course_id': 'AGCJ308', 'course_name': 'Agricultural Photography', 'reviews_count': 2, 'avg_rating': 4.9}, {'course_id': 'ACGJ105', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.9}, {'course_id': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'reviews_count': 1, 'avg_rating': 4.9}, {'course_id': 'AGRICULTURE105', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.9}, {'course_id': 'AGCJ405', 'course_name': 'Design and Publication in Agriculture and Life Sciences', 'reviews_count': 1, 'avg_rating': 4.9}]","['AGRICULTURE', 'AGCJ', 'ACGJ']",VGVhY2hlci0xODUwMTQx,Tobin Redwine,4.9,"[{'id': 'UmF0aW5nLTM3OTgyNzc5', 'course_code': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'review_text': ""Prof Redwine is the best professor I have had. His class is super easy and he wants you to do well- its one of the classes that you have to try to do poorly in. He really cares for his students as individuals and will make the effort to know you and your work. There isn't much work and what there is is straight forward and beneficial to your future"", 'overall_rating': 5.0, 'would_take_again': True, 'grade': 'A+', 'review_date': '2023-05-24T07:05:56', 'tags': ['EXTRA CREDIT', 'Hilarious', 'Caring']}]",1,100.0
