courseSummary,courses,departments,id,name,overall_rating,recent_reviews,total_reviews,would_take_again_percent
"{'teaching': None, 'exams': None, 'grading': None, 'workload': 'Earhart is a very sweet professor who does a great job of fostering discussions in the classroom. I never felt pressured or intimidated to contribute and always felt like my contributions were appreciated. For best experience, read the assigned reading and participate in class.', 'confidence': 0.545}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 36, 'avg_rating': 3.3}, {'course_id': 'ENGL228', 'course_name': 'American Literature: Civil War to Present', 'reviews_count': 25, 'avg_rating': 3.3}, {'course_id': 'ENGL305', 'course_name': 'Texas Literature', 'reviews_count': 5, 'avg_rating': 3.3}, {'course_id': 'AFST204', 'course_name': 'Introduction to African-American Literature', 'reviews_count': 4, 'avg_rating': 3.3}, {'course_id': 'AFST329', 'course_name': 'African-American Literature Pre-1930', 'reviews_count': 2, 'avg_rating': 3.3}]","['AFST', 'ENGL']",VGVhY2hlci0xNjg3NzUx,Amy Earhart,3.3,[],2,59.3
"{'teaching': None, 'exams': 'Assigns way too much reading for every single class. There is 1 exam and 2 papers. The exam is over 15+ readings that you do in class, he gives you a random quote and you have to identify who the author was and the name of the piece of work as well as what Dworkin thought of the quote.', 'grading': None, 'workload': None, 'confidence': 0.545}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 8, 'avg_rating': 3.9}, {'course_id': 'ENGL303', 'course_name': 'Approaches to English Studies', 'reviews_count': 5, 'avg_rating': 3.9}, {'course_id': 'AFST329', 'course_name': 'African-American Literature Pre-1930', 'reviews_count': 2, 'avg_rating': 3.9}, {'course_id': 'ENGL375', 'course_name': 'Nineteenth-Century American Novel', 'reviews_count': 1, 'avg_rating': 3.9}]","['AFST', 'ENGL']",VGVhY2hlci0yMjU1MjQ3,Ira Dworkin,3.9,[],2,87.5
"{'teaching': 'Submitted our participation via email and he called on students to read them out loud during class. Very difficult grader. I agree with the other reviews that he does not understand how others think.', 'exams': None, 'grading': None, 'workload': None, 'confidence': 0.5225}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 23, 'avg_rating': 2.8}, {'course_id': 'ENGL338', 'course_name': 'American Ethnic Literature', 'reviews_count': 8, 'avg_rating': 2.8}, {'course_id': 'ENGLISH500', 'course_name': 'Course Title', 'reviews_count': 4, 'avg_rating': 2.8}, {'course_id': 'AFST339', 'course_name': 'African-American Literature Post-1930', 'reviews_count': 4, 'avg_rating': 2.8}, {'course_id': 'ENGLISH339', 'course_name': 'Course Title', 'reviews_count': 4, 'avg_rating': 2.8}, {'course_id': 'ENGL481', 'course_name': 'Senior Seminar', 'reviews_count': 2, 'avg_rating': 2.8}, {'course_id': 'ENGL303', 'course_name': 'Approaches to English Studies', 'reviews_count': 2, 'avg_rating': 2.8}, {'course_id': 'ENGL970', 'course_name': 'Course Title', 'reviews_count': 2, 'avg_rating': 2.8}, {'course_id': 'ENGL348', 'course_name': ""Writers' Workshop: Poetry"", 'reviews_count': 1, 'avg_rating': 2.8}, {'course_id': 'ENG970', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 2.8}, {'course_id': 'ENG303', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 2.8}, {'course_id': 'AFST329', 'course_name': 'African-American Literature Pre-1930', 'reviews_count': 1, 'avg_rating': 2.8}]","['AFST', 'ENGLISH', 'ENGL', 'ENG']",VGVhY2hlci0xODA3ODE4,Michael Collins,2.8,[],1,43.8
"{'teaching': 'Owusu is the best English instructor that I have ever had. She is a truly caring and funny person. She is often understanding and relatable in interaction and easily available outside of class.', 'exams': None, 'grading': None, 'workload': None, 'confidence': 0.5225}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 6, 'avg_rating': 4.1}, {'course_id': 'ENGLISH339', 'course_name': 'Course Title', 'reviews_count': 4, 'avg_rating': 4.1}, {'course_id': 'AFST329', 'course_name': 'African-American Literature Pre-1930', 'reviews_count': 1, 'avg_rating': 4.1}, {'course_id': 'ENGLISH204', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.1}]","['ENGLISH', 'AFST']",VGVhY2hlci0yODA0ODQx,Portia Owusu,4.1,[],1,100.0
