id,code,name,description,avg_gpa,rating
mase,MASE,MASE - Maritime Systems Engr,Maritime Systems Engr,3.0,3.0
mast,MAST,MAST - Maritime Studies,Maritime Studies,3.0,3.0
math,MATH,MATH - Mathematics,Mathematics,2.79,3.7
meen,MEEN,MEEN - Mechanical Engineering,Mechanical Engineering,3.45,3.3
mefb,MEFB,MEFB - Mid Grds Ed Field Based,Mid Grds Ed Field Based,3.73,4.0
meps,MEPS,MEPS - Molecular & Env Plant Sci,Molecular & Env Plant Sci,3.0,3.8
mgmt,MGMT,MGMT - Management,Management,3.28,3.5
micr,MICR,MICR - Microbiology,Microbiology,3.0,3.0
mktg,MKTG,MKTG - Marketing,Marketing,3.36,3.1
mlsc,MLSC,MLSC - Military Science,Military Science,3.8,5.0
mmet,MMET,MMET - Mfg & Mech Engr Tech,Mfg & Mech Engr Tech,3.06,3.4
modl,MODL,MODL - Modern Languages,Modern Languages,4.0,3.8
msen,MSEN,MSEN - Materials Science & Engr,Materials Science & Engr,3.22,3.0
mstc,MSTC,MSTC - Music Technology,Music Technology,3.0,5.0
mtde,MTDE,MTDE - Multidisciplinary Engr,Multidisciplinary Engr,3.62,4.0
musc,MUSC,MUSC - Music,Music,3.0,3.8
must,MUST,MUST - Museum Studies,Museum Studies,3.56,4.7
mxet,MXET,MXET - Multidiscip Engr Tech,Multidiscip Engr Tech,3.12,3.2
naut,NAUT,NAUT - Nautical Science,Nautical Science,3.0,3.0
nrsc,NRSC,NRSC - Neuroscience,Neuroscience,3.63,3.3
nuen,NUEN,NUEN - Nuclear Engineering,Nuclear Engineering,3.18,4.2
nurs,NURS,NURS - Nursing,Nursing,3.0,5.0
nutr,NUTR,NUTR - Nutrition,Nutrition,3.6,3.8
nvsc,NVSC,NVSC - Naval Science,Naval Science,3.67,4.9
ocen,OCEN,OCEN - Ocean Engineering,Ocean Engineering,3.16,4.0
ocng,OCNG,OCNG - Oceanography,Oceanography,3.58,3.8
pbsi,PBSI,PBSI - Psyc & Brain Sciences,Psyc & Brain Sciences,3.58,4.4
perf,PERF,PERF - Performance Studies,Performance Studies,3.0,4.1
pete,PETE,PETE - Petroleum Engineering,Petroleum Engineering,3.16,3.1
phil,PHIL,PHIL - Philosophy,Philosophy,3.31,3.8
phlt,PHLT,PHLT - Public Health,Public Health,3.0,3.5
phys,PHYS,PHYS - Physics,Physics,2.98,3.5
plpa,PLPA,PLPA - Plant Pathology,Plant Pathology,3.25,3.6
pols,POLS,POLS - Political Science,Political Science,3.28,3.7
port,PORT,PORT - Portuguese,Portuguese,3.0,3.0
posc,POSC,POSC - Poultry Science,Poultry Science,3.48,4.5
pvfa,PVFA,PVFA - Perf Vis Fine Arts,Perf Vis Fine Arts,3.0,4.0
rdng,RDNG,RDNG - Reading,Reading,3.76,3.8
rels,RELS,RELS - Religious Studies,Religious Studies,3.16,3.8
rpts,RPTS,"RPTS - Rec, Park & Tourism Sci","Rec, Park & Tourism Sci",3.0,3.9
russ,RUSS,RUSS - Russian,Russian,3.54,4.1
rwfm,RWFM,RWFM - Rang Wild & Fish Mgmt,Rang Wild & Fish Mgmt,3.61,4.5
scmt,SCMT,SCMT - Supply Chain Mgmt,Supply Chain Mgmt,3.4,3.3
scsc,SCSC,SCSC - Soil and Crop Sciences,Soil and Crop Sciences,3.2,4.3
sefb,SEFB,SEFB - Special Ed Field Based,Special Ed Field Based,4.0,3.0
seng,SENG,SENG - Safety Engineering,Safety Engineering,3.18,3.3
soci,SOCI,SOCI - Sociology,Sociology,3.41,3.7
soms,SOMS,SOMS - Schl of Military Sciences,Schl of Military Sciences,3.82,4.7
span,SPAN,SPAN - Spanish,Spanish,3.64,4.1
sped,SPED,SPED - Special Education,Special Education,3.89,4.6
spen,SPEN,SPEN - Space Engineering,Space Engineering,3.0,3.0
spmt,SPMT,SPMT - Sport Management,Sport Management,3.56,4.0
stat,STAT,STAT - Statistics,Statistics,3.1,3.3
tcmg,TCMG,TCMG - Technology Management,Technology Management,3.18,3.6
teed,TEED,TEED - Teacher Education,Teacher Education,3.0,4.1
tefb,TEFB,TEFB - Teacher Ed Field Based,Teacher Ed Field Based,3.92,4.2
thea,THEA,THEA - Theatre,Theatre,3.0,4.6
ugst,UGST,UGST - Undergraduate Studies,Undergraduate Studies,3.0,2.1
urpn,URPN,URPN - Urban & Reg Planning,Urban & Reg Planning,3.65,3.8
vibs,VIBS,VIBS - Vet Integrative Biosci,Vet Integrative Biosci,3.82,3.8
vist,VIST,VIST - Visual Studies,Visual Studies,3.0,3.3
vlcs,VLCS,VLCS - Vet Large Animal Clin Sc,Vet Large Animal Clin Sc,4.0,5.0
vscs,VSCS,VSCS - Vet Small Animal Clin Sc,Vet Small Animal Clin Sc,3.0,3.0
vtpb,VTPB,VTPB - Veterinary Pathobiology,Veterinary Pathobiology,3.61,3.8
vtpp,VTPP,VTPP - Vet Physiology & Pharm,Vet Physiology & Pharm,2.92,4.1
wfsc,WFSC,WFSC - Wildlife & Fisheries Sci,Wildlife & Fisheries Sci,3.0,3.6
wgst,WGST,WGST - Women's & Gender Studies,Women's & Gender Studies,3.44,3.6
zool,ZOOL,ZOOL - Zoology,Zoology,3.0,3.0
