courseSummary,courses,departments,id,name,overall_rating,recent_reviews,total_reviews,would_take_again_percent
"{'teaching': None, 'exams': None, 'grading': None, 'workload': 'Only thing that saved me in this class was I had Adobe program experience If you are not a Adobe Pro and dont do everything perfect she knocks off points Doesnt offer help if you reach out to her and is a very tough grader Watch YouTube Videos as much as possible and only take this class if you have prior Adobe experience Honestly one of the worst profs ever She takes FOREVER to grade, doesnt respond to emails, and doesnt teach anything.', 'confidence': 0.6125}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 5, 'avg_rating': 2.0}, {'course_id': 'AGCJ307', 'course_name': 'Design for Agricultural Media', 'reviews_count': 5, 'avg_rating': 2.0}]",['AGCJ'],VGVhY2hlci0yNjI3NTUy,Kimberly Topp,2.0,"[{'id': 'UmF0aW5nLTM0OTAxNzc5', 'course_code': 'AGCJ307', 'course_name': 'Design for Agricultural Media', 'review_text': 'The only thing that saved me in this class was I had Adobe program experience! If you are not a Adobe Pro and dont do everything perfect she knocks off points. Doesnt offer help if you reach out to her and is a very tough grader. Watch YouTube Videos as much as possible and only take this class if you have prior Adobe experience!!', 'overall_rating': 1.7, 'would_take_again': False, 'grade': '', 'review_date': '2021-06-09T05:17:00', 'tags': ['Tough grader', 'Lots of homework', 'So many papers']}, {'id': 'UmF0aW5nLTM0Nzg2MDc4', 'course_code': 'AGCJ307', 'course_name': 'Design for Agricultural Media', 'review_text': 'This class has a lot of projects, and weekly assignments. I already knew how to work most adobe products, so this class was pretty easy for me, but very time consuming. She was a pretty easy grader, and I got an 98 in this class. If you know how to use adobe or pick up pretty quick and watch her videos its pretty simple.', 'overall_rating': 2.7, 'would_take_again': True, 'grade': '', 'review_date': '2021-05-13T18:38:51', 'tags': []}, {'id': 'UmF0aW5nLTM0NDMzMTc4', 'course_code': 'AGCJ307', 'course_name': 'Design for Agricultural Media', 'review_text': 'Honestly one of the worst profs ever. She takes FOREVER to grade, doesnt respond to emails, and doesnt teach anything. So, Unless you already know how to use these programs, get ready to watch hours of YouTube because she wont be any help. I emailed her letting her know that my grandmother passed away she said, not sure what to tell you...', 'overall_rating': 1.0, 'would_take_again': False, 'grade': '', 'review_date': '2021-03-12T22:08:40', 'tags': []}]",5,20.0
"{'teaching': 'Rutherford is a great teacher, while the class could be set up better if you go to class, participate and ask questions you will have no trouble making an A or B in the class. They have an optional lab on Fridays that you can go to if you need help with the Adobe programs or just want someone to go over things with you on the projects.', 'exams': None, 'grading': None, 'workload': None, 'confidence': 0.5225}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.0}, {'course_id': 'AGCJ307', 'course_name': 'Design for Agricultural Media', 'reviews_count': 1, 'avg_rating': 4.0}]",['AGCJ'],VGVhY2hlci0yMzIzNTg3,Tracy Rutherford,4.0,"[{'id': 'UmF0aW5nLTMwMjc3MTQ1', 'course_code': 'AGCJ307', 'course_name': 'Design for Agricultural Media', 'review_text': 'Dr. Rutherford is a great teacher, while the class could be set up better if you go to class, participate and ask questions you will have no trouble making an A or B in the class. They have an optional lab on Fridays that you can go to if you need help with the Adobe programs or just want someone to go over things with you on the projects.', 'overall_rating': 3.7, 'would_take_again': True, 'grade': 'A', 'review_date': '2018-06-19T12:09:36', 'tags': ['Clear grading criteria', 'EXTRA CREDIT', 'LECTURE HEAVY']}]",1,100.0
"{'teaching': None, 'exams': None, 'grading': None, 'workload': ""She was super helpful throughout the semester and tried to make the class as stress-free as possible. Most of your grade is based on the adobe projects but she is willing to answer questions and assist you if you ask questions and put in some work. You will do fine as long as you don't procrastinate the assignments until the last minute."", 'confidence': 0.5225}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 9, 'avg_rating': 1.3}, {'course_id': 'AGCJ281', 'course_name': 'Media Concepts in Agriculture and Life Sciences', 'reviews_count': 8, 'avg_rating': 1.3}, {'course_id': 'AGCJ307', 'course_name': 'Design for Agricultural Media', 'reviews_count': 1, 'avg_rating': 1.3}]",['AGCJ'],VGVhY2hlci0yMzk5Mzkw,Sharon Wagner,1.3,"[{'id': 'UmF0aW5nLTMzNTU3MTcz', 'course_code': 'AGCJ307', 'course_name': 'Design for Agricultural Media', 'review_text': ""She was super helpful throughout the semester and tried to make the class as stress-free as possible. Most of your grade is based on the adobe projects but she is willing to answer questions and assist you if you ask questions and put in some work. You will do fine as long as you don't procrastinate the assignments until the last minute."", 'overall_rating': 3.7, 'would_take_again': True, 'grade': 'A', 'review_date': '2020-08-04T02:44:42', 'tags': ['Gives good feedback', 'Accessible outside class', ""Skip class? You won't pass.""]}]",1,11.1
"{'teaching': ""Opat really loves teaching. Talk to her during class and make an effort and she'll help you succeed."", 'exams': None, 'grading': None, 'workload': None, 'confidence': 0.5225}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 3, 'avg_rating': 3.7}, {'course_id': 'AGCJ105', 'course_name': 'Introduction to Agriculture and Life Sciences Communications', 'reviews_count': 2, 'avg_rating': 3.7}, {'course_id': 'AGCJ307', 'course_name': 'Design for Agricultural Media', 'reviews_count': 1, 'avg_rating': 3.7}]",['AGCJ'],VGVhY2hlci0zMTAzMDgz,Kelsi Opat,3.7,"[{'id': 'UmF0aW5nLTQyMjY1MTY3', 'course_code': 'AGCJ307', 'course_name': 'Design for Agricultural Media', 'review_text': ""Dr. Opat really loves teaching. Talk to her during class and make an effort and she'll help you succeed. "", 'overall_rating': 4.7, 'would_take_again': True, 'grade': 'A', 'review_date': '2025-12-15T20:31:27', 'tags': ['Participation matters']}]",1,100.0
