courseSummary,courses,departments,id,name,overall_rating,recent_reviews,total_reviews,would_take_again_percent
"{'teaching': None, 'exams': None, 'grading': None, 'workload': 'I had him for my Hullabaloo U class, and he was amazing. He cares about his students and wants you to be prepared for anything that college throws at you. You need to show up but other than that there is not much (very few assignments, but they are so worth it) if you get the chance to take him, do it.', 'confidence': 0.545}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 81, 'avg_rating': 4.3}, {'course_id': 'AGLS101', 'course_name': 'Modern Agricultural Systems and Renewable Natural Resources', 'reviews_count': 40, 'avg_rating': 4.3}, {'course_id': 'ANSC101', 'course_name': 'Introductory Seminar for Animal Science', 'reviews_count': 19, 'avg_rating': 4.3}, {'course_id': 'ANSC108', 'course_name': 'General Animal Science Laboratory', 'reviews_count': 14, 'avg_rating': 4.3}, {'course_id': 'AGLS108', 'course_name': 'Course Title', 'reviews_count': 2, 'avg_rating': 4.3}, {'course_id': 'AGLS125', 'course_name': 'Life Sciences Learning Community I', 'reviews_count': 2, 'avg_rating': 4.3}, {'course_id': '101', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.3}]","['ANSC', 'AGLS']",VGVhY2hlci0xODM0NTk0,Chris Skaggs,4.3,"[{'id': 'UmF0aW5nLTMzODgyNzE4', 'course_code': 'AGLS125', 'course_name': 'Life Sciences Learning Community I', 'review_text': 'I had him for my Hullabaloo U class, and he was amazing. He cares about his students and wants you to be prepared for anything that college throws at you. You need to show up but other than that there is not much (very few assignments, but they are so worth it) if you get the chance to take him, do it.', 'overall_rating': 5.0, 'would_take_again': True, 'grade': 'A', 'review_date': '2020-11-24T19:02:31', 'tags': ['Gives good feedback', 'Respected', 'Caring']}, {'id': 'UmF0aW5nLTMzODUxMjY0', 'course_code': 'AGLS125', 'course_name': 'Life Sciences Learning Community I', 'review_text': ""This class was an underclassman elective class focused on transitioning to college. Prof. Skaggs is one of the best professors I've had. He was extremely helpful and funny. He makes you feel like you can talk to him about anything, even your personal life. Would DEFINITELY recommend him as a professor if you have the option!"", 'overall_rating': 5.0, 'would_take_again': True, 'grade': 'A+', 'review_date': '2020-11-19T19:27:37', 'tags': ['Respected', 'Inspirational', 'Caring']}]",2,97.0
"{'teaching': None, 'exams': None, 'grading': None, 'workload': 'I took Professor Creasy for my AGLS 125 class in the first semester of my Freshman year. She genuinely wants to know how her students are doing. I could tell that she wanted her class to have an understanding nonjudgmental environment.', 'confidence': 0.5225}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 171, 'avg_rating': 4.6}, {'course_id': 'NUTR202', 'course_name': 'Fundamentals of Human Nutrition', 'reviews_count': 126, 'avg_rating': 4.6}, {'course_id': 'NFSC202', 'course_name': 'Course Title', 'reviews_count': 34, 'avg_rating': 4.6}, {'course_id': 'NUTRITION202', 'course_name': 'Course Title', 'reviews_count': 2, 'avg_rating': 4.6}, {'course_id': 'NFSC311', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.6}, {'course_id': 'NFSC209', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.6}, {'course_id': 'NUTR226', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.6}, {'course_id': 'NUTR205', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.6}, {'course_id': 'NUT101', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.6}, {'course_id': '202', 'course_name': 'Course Title', 'reviews_count': 1, 'avg_rating': 4.6}, {'course_id': 'AGLS125', 'course_name': 'Life Sciences Learning Community I', 'reviews_count': 1, 'avg_rating': 4.6}]","['AGLS', 'NFSC', 'NUTR', 'NUT', 'NUTRITION']",VGVhY2hlci0yMDQwMTI1,Rebecca Creasy,4.6,"[{'id': 'UmF0aW5nLTM5OTE3Mzgz', 'course_code': 'AGLS125', 'course_name': 'Life Sciences Learning Community I', 'review_text': ""I took Professor Creasy for my AGLS 125 class in the first semester of my Freshman year. She genuinely wants to know how her students are doing. I could tell that she wanted her class to have an understanding nonjudgmental environment. AGLS 125 was basically a pass-fail class, so as long as you submit your assignments on time you'll pass! "", 'overall_rating': 5.0, 'would_take_again': True, 'grade': 'A+', 'review_date': '2024-11-09T09:01:23', 'tags': ['Participation matters', 'Group projects', 'Caring']}]",1,98.6
"{'teaching': None, 'exams': None, 'grading': None, 'workload': 'The course itself is very easy and there is no work that needs to be done. On the other hand SHE IS AMAZING she truly cares about each student and their well-being.', 'confidence': 0.5225}","[{'course_id': None, 'course_name': 'Course Title', 'reviews_count': 3, 'avg_rating': 5.0}, {'course_id': '340', 'course_name': 'Course Title', 'reviews_count': 2, 'avg_rating': 5.0}, {'course_id': 'AGLS125', 'course_name': 'Life Sciences Learning Community I', 'reviews_count': 1, 'avg_rating': 5.0}]",['AGLS'],VGVhY2hlci0yODc1MDgy,Jenna Kurten,5.0,[],1,100.0
