course_id,tag
ALEC472,Advanced
ALEC473,Advanced
ALEC474,Advanced
ALEC478,Advanced
ALEC485,Advanced
ALEC489,Advanced
ALEC491,Advanced
ALEC494,Advanced
ALED125,Undergraduate
ALED202,Undergraduate
ALED225,Undergraduate
ALED285,Undergraduate
ALED289,Undergraduate
ALED291,Undergraduate
ALED301,Advanced
ALED322,Advanced
ALED323,Advanced
ALED324,Advanced
ALED339,Advanced
ALED340,Advanced
ALED341,Advanced
ALED344,Advanced
ALED400,Advanced
ALED401,Advanced
ALED419,Advanced
ALED422,Advanced
ALED424,Advanced
ALED426,Advanced
ALED440,Advanced
ALED441,Advanced
ALED481,Advanced
ALED485,Advanced
ALED489,Advanced
ALED491,Advanced
ALED494,Advanced
ANSC101,Undergraduate
ANSC107,Undergraduate
ANSC108,Undergraduate
ANSC111,Undergraduate
ANSC113,Undergraduate
ANSC117,Undergraduate
ANSC201,Undergraduate
ANSC205,Undergraduate
ANSC207,Undergraduate
ANSC210,Undergraduate
ANSC211,Undergraduate
ANSC215,Undergraduate
ANSC221,Undergraduate
ANSC235,Undergraduate
ANSC242,Undergraduate
ANSC289,Undergraduate
ANSC291,Undergraduate
ANSC302,Advanced
ANSC303,Advanced
ANSC305,Advanced
ANSC307,Advanced
ANSC309,Advanced
ANSC311,Advanced
ANSC314,Advanced
ANSC315,Advanced
ANSC316,Advanced
ANSC317,Advanced
ANSC318,Advanced
ANSC320,Advanced
ANSC325,Advanced
ANSC326,Advanced
ANSC327,Advanced
ANSC333,Advanced
ANSC334,Advanced
ANSC337,Advanced
ANSC360,Advanced
ANSC380,Advanced
ANSC399,Advanced
ANSC404,Advanced
ANSC406,Advanced
ANSC408,Advanced
ANSC411,Advanced
ANSC412,Advanced
ANSC414,Advanced
ANSC415,Advanced
ANSC418,Advanced
ANSC420,Advanced
ANSC423,Advanced
ANSC429,Advanced
ANSC432,Advanced
ANSC434,Advanced
ANSC436,Advanced
ANSC437,Advanced
ANSC439,Advanced
ANSC447,Advanced
ANSC451,Advanced
ANSC455,Advanced
ANSC457,Advanced
ANSC467,Advanced
ANSC470,Advanced
ANSC481,Advanced
ANSC484,Advanced
ANSC485,Advanced
ANSC487,Advanced
ANSC489,Advanced
ANSC491,Advanced
ANSC494,Advanced
ANSC495,Advanced
ANSC498,Advanced
ANTH201,Undergraduate
ANTH202,Undergraduate
ANTH204,Undergraduate
ANTH205,Undergraduate
ANTH210,Undergraduate
ANTH222,Undergraduate
ANTH225,Undergraduate
ANTH226,Undergraduate
ANTH229,Undergraduate
ANTH285,Undergraduate
ANTH289,Undergraduate
ANTH291,Undergraduate
ANTH300,Advanced
ANTH301,Advanced
ANTH302,Advanced
ANTH304,Advanced
ANTH305,Advanced
ANTH308,Advanced
ANTH312,Advanced
ANTH313,Advanced
ANTH316,Advanced
ANTH317,Advanced
ANTH318,Advanced
ANTH323,Advanced
ANTH324,Advanced
ANTH330,Advanced
ANTH335,Advanced
ANTH340,Advanced
ANTH350,Advanced
ANTH351,Advanced
ANTH353,Advanced
ANTH354,Advanced
ANTH360,Advanced
ANTH370,Advanced
ANTH382,Advanced
ANTH401,Advanced
ANTH402,Advanced
ANTH403,Advanced
ANTH404,Advanced
ANTH405,Advanced
ANTH409,Advanced
ANTH410,Advanced
ANTH412,Advanced
ANTH415,Advanced
ANTH417,Advanced
ANTH418,Advanced
ANTH419,Advanced
ANTH420,Advanced
ANTH421,Advanced
ANTH423,Advanced
ANTH424,Advanced
ANTH425,Advanced
ANTH426,Advanced
ANTH427,Advanced
ANTH430,Advanced
ANTH434,Advanced
ANTH435,Advanced
ANTH436,Advanced
ANTH437,Advanced
ANTH438,Advanced
ANTH440,Advanced
ANTH444,Advanced
ANTH445,Advanced
ANTH447,Advanced
ANTH448,Advanced
ANTH458,Advanced
ANTH461,Advanced
ANTH464,Advanced
ANTH484,Advanced
ANTH485,Advanced
ANTH489,Advanced
ANTH491,Advanced
ARAB101,Undergraduate
ARAB102,Undergraduate
ARAB104,Undergraduate
ARAB201,Undergraduate
ARAB202,Undergraduate
ARAB204,Undergraduate
ARAB215,Undergraduate
ARAB221,Undergraduate
ARAB222,Undergraduate
ARAB258,Undergraduate
ARAB285,Undergraduate
ARAB289,Undergraduate
ARAB301,Advanced
ARAB302,Advanced
ARAB321,Advanced
ARAB322,Advanced
ARAB323,Advanced
ARAB475,Advanced
ARAB485,Advanced
ARAB489,Advanced
ARAB491,Advanced
ARCH105,Undergraduate
ARCH106,Undergraduate
ARCH115,Undergraduate
ARCH205,Undergraduate
ARCH206,Undergraduate
ARCH212,Undergraduate
ARCH213,Undergraduate
ARCH216,Undergraduate
ARCH221,Undergraduate
ARCH246,Undergraduate
ARCH249,Undergraduate
ARCH250,Undergraduate
ARCH260,Undergraduate
ARCH281,Undergraduate
ARCH289,Undergraduate
ARCH291,Undergraduate
ARCH305,Advanced
ARCH317,Advanced
ARCH327,Advanced
ARCH328,Advanced
ARCH330,Advanced
ARCH331,Advanced
ARCH335,Advanced
ARCH345,Advanced
ARCH346,Advanced
ARCH347,Advanced
ARCH350,Advanced
ARCH353,Advanced
ARCH360,Advanced
ARCH381,Advanced
ARCH401,Advanced
ARCH405,Advanced
ARCH406,Advanced
ARCH413,Advanced
ARCH421,Advanced
ARCH430,Advanced
ARCH431,Advanced
ARCH433,Advanced
ARCH434,Advanced
ARCH435,Advanced
ARCH437,Advanced
ARCH438,Advanced
ARCH441,Advanced
ARCH443,Advanced
ARCH444,Advanced
ARCH451,Advanced
ARCH452,Advanced
ARCH457,Advanced
ARCH458,Advanced
ARCH463,Advanced
ARCH468,Advanced
ARCH481,Advanced
ARCH484,Advanced
ARCH485,Advanced
ARCH489,Advanced
ARCH491,Advanced
ARCH494,Advanced
AREN200,Undergraduate
AREN210,Undergraduate
AREN221,Undergraduate
AREN281,Undergraduate
AREN285,Undergraduate
AREN289,Undergraduate
AREN300,Advanced
AREN310,Advanced
AREN311,Advanced
AREN320,Advanced
AREN330,Advanced
AREN399,Advanced
AREN401,Advanced
AREN402,Advanced
AREN430,Advanced
AREN440,Advanced
AREN485,Advanced
AREN489,Advanced
AREN491,Advanced
ARSC101,Undergraduate
ARSC104,Undergraduate
ARSC105,Undergraduate
ARSC201,Undergraduate
ARSC202,Undergraduate
ARSC285,Undergraduate
ARSC289,Undergraduate
ARSC292,Undergraduate
ARSC301,Advanced
ARSC392,Advanced
ARSC485,Advanced
ARSC489,Advanced
ARSC492,Advanced
ARTS101,Undergraduate
ARTS102,Undergraduate
ARTS103,Undergraduate
ARTS104,Undergraduate
ARTS111,Undergraduate
ARTS115,Undergraduate
ARTS116,Undergraduate
ARTS149,Undergraduate
ARTS150,Undergraduate
ARTS210,Undergraduate
ARTS212,Undergraduate
ARTS231,Undergraduate
ARTS234,Undergraduate
ARTS255,Undergraduate
ARTS289,Undergraduate
ARTS301,Advanced
ARTS303,Advanced
ARTS304,Advanced
ARTS305,Advanced
ARTS308,Advanced
ARTS311,Advanced
ARTS312,Advanced
ARTS315,Advanced
ARTS325,Advanced
ARTS328,Advanced
ARTS329,Advanced
ARTS330,Advanced
ARTS335,Advanced
ARTS339,Advanced
ARTS340,Advanced
ARTS341,Advanced
ARTS342,Advanced
ARTS343,Advanced
ARTS345,Advanced
ARTS349,Advanced
ARTS350,Advanced
ARTS353,Advanced
ARTS356,Advanced
ARTS403,Advanced
ARTS435,Advanced
ARTS445,Advanced
ARTS455,Advanced
ARTS485,Advanced
ARTS489,Advanced
ASCC001,Undergraduate
ASCC002,Undergraduate
ASCC003,Undergraduate
ASCC004,Undergraduate
ASCC005,Undergraduate
ASCC101,Undergraduate
ASCC102,Undergraduate
ASCC289,Undergraduate
ASIA229,Undergraduate
ASIA285,Undergraduate
ASIA289,Undergraduate
ASIA349,Advanced
ASIA350,Advanced
ASIA352,Advanced
ASIA354,Advanced
ASIA355,Advanced
ASIA356,Advanced
ASIA358,Advanced
ASIA401,Advanced
ASIA463,Advanced
ASIA485,Advanced
ASIA489,Advanced
ASIA491,Advanced
ASTR101,Undergraduate
ASTR102,Undergraduate
ASTR103,Undergraduate
ASTR104,Undergraduate
ASTR109,Undergraduate
ASTR111,Undergraduate
ASTR119,Undergraduate
ASTR285,Undergraduate
ASTR289,Undergraduate
ASTR291,Undergraduate
ASTR314,Advanced
ASTR320,Advanced
ASTR401,Advanced
ASTR403,Advanced
ASTR420,Advanced
ASTR485,Advanced
ASTR489,Advanced
ASTR491,Advanced
ATMO110,Undergraduate
ATMO201,Undergraduate
ATMO202,Undergraduate
ATMO203,Undergraduate
