2026-03-30 14:16:19,809 | INFO     | tamu_crawler | ━━━ Crawling source: engineering (livewhale_json) ━━━
2026-03-30 14:16:19,809 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.84s
2026-03-30 14:16:20,649 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Engineering
2026-03-30 14:16:20,823 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from engineering (of 0 raw)
2026-03-30 14:16:20,823 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:20,823 | INFO     | tamu_crawler | Source engineering: 0 raw → 0 normalised events
2026-03-30 14:16:20,823 | INFO     | tamu_crawler | ━━━ Crawling source: liberal_arts (livewhale_json) ━━━
2026-03-30 14:16:20,824 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.83s
2026-03-30 14:16:21,650 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Liberal%20Arts
2026-03-30 14:16:21,761 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from liberal_arts (of 0 raw)
2026-03-30 14:16:21,761 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:21,761 | INFO     | tamu_crawler | Source liberal_arts: 0 raw → 0 normalised events
2026-03-30 14:16:21,761 | INFO     | tamu_crawler | ━━━ Crawling source: science (livewhale_json) ━━━
2026-03-30 14:16:21,761 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.89s
2026-03-30 14:16:22,652 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Science
2026-03-30 14:16:22,761 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from science (of 0 raw)
2026-03-30 14:16:22,761 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:22,761 | INFO     | tamu_crawler | Source science: 0 raw → 0 normalised events
2026-03-30 14:16:22,761 | INFO     | tamu_crawler | ━━━ Crawling source: bush_school (livewhale_json) ━━━
2026-03-30 14:16:22,761 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.89s
2026-03-30 14:16:23,653 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Bush%20School
2026-03-30 14:16:23,720 | INFO     | tamu_crawler.parsers.livewhale | Parsed 1 events from bush_school (of 1 raw)
2026-03-30 14:16:23,730 | INFO     | tamu_crawler.normalizer | Normalised 1 events from 1 raw (filtered 0)
2026-03-30 14:16:23,730 | INFO     | tamu_crawler | Source bush_school: 1 raw → 1 normalised events
2026-03-30 14:16:23,730 | INFO     | tamu_crawler | ━━━ Crawling source: agriculture (livewhale_json) ━━━
2026-03-30 14:16:23,730 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.92s
2026-03-30 14:16:24,654 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Agriculture%20and%20Life%20Sciences
2026-03-30 14:16:24,842 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from agriculture (of 0 raw)
2026-03-30 14:16:24,842 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:24,842 | INFO     | tamu_crawler | Source agriculture: 0 raw → 0 normalised events
2026-03-30 14:16:24,842 | INFO     | tamu_crawler | ━━━ Crawling source: business (livewhale_json) ━━━
2026-03-30 14:16:24,842 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.81s
2026-03-30 14:16:25,655 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Mays%20Business%20School
2026-03-30 14:16:25,805 | INFO     | tamu_crawler.parsers.livewhale | Parsed 129 events from business (of 132 raw)
2026-03-30 14:16:25,826 | DEBUG    | tamu_crawler.food_detector | Food detected (1.00, dinner, 5 cues): MSA Class Visit — explicit:complimentary dinner, high_keyword:dinner, low_keyword:welcome, pattern:complimentary, pattern:provided
2026-03-30 14:16:25,948 | DEBUG    | tamu_crawler.food_detector | Food detected (0.70, unknown, 2 cues): Master of Business Information Session — medium_keyword:information session, food_org:mays business
2026-03-30 14:16:25,980 | DEBUG    | tamu_crawler.food_detector | Food detected (0.70, lunch, 2 cues): Flex Online MBA: MBA Connect: Luncheon &amp; Insights (Colle — medium_keyword:luncheon, low_keyword:gathering, food_org:mays business
2026-03-30 14:16:26,488 | INFO     | tamu_crawler.normalizer | Normalised 117 events from 129 raw (filtered 12)
2026-03-30 14:16:26,489 | INFO     | tamu_crawler | Source business: 129 raw → 117 normalised events
2026-03-30 14:16:26,489 | INFO     | tamu_crawler | ━━━ Crawling source: education (livewhale_json) ━━━
2026-03-30 14:16:26,489 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.17s
2026-03-30 14:16:26,656 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Education%20and%20Human%20Development
